Element# βxx' βyy' βzz' 
2.6000000e+02 2.4390671e+00 1.3972210e+00 2.9658306e+02 
2.6100000e+02 2.4450753e+00 1.4014321e+00 3.0410126e+02 
2.6200000e+02 2.4450753e+00 1.4014321e+00 3.0410126e+02 
2.6300000e+02 2.4450753e+00 1.4014321e+00 3.0410126e+02 
2.6400000e+02 2.4499145e+00 1.4057060e+00 3.1162754e+02 
2.6500000e+02 2.4499145e+00 1.4057060e+00 3.1162754e+02 
2.6600000e+02 2.4499145e+00 1.4057060e+00 3.1162754e+02 
2.6700000e+02 2.4535806e+00 1.4100429e+00 3.1915971e+02 
2.6800000e+02 2.4535806e+00 1.4100429e+00 3.1915971e+02 
2.6900000e+02 2.4535806e+00 1.4100429e+00 3.1915971e+02 
2.7000000e+02 2.4560690e+00 1.4144422e+00 3.2669618e+02 
2.7100000e+02 2.4560690e+00 1.4144422e+00 3.2669618e+02 
2.7200000e+02 2.4560690e+00 1.4144422e+00 3.2669618e+02 
2.7300000e+02 2.4573781e+00 1.4189036e+00 3.3423523e+02 
2.7400000e+02 2.4573781e+00 1.4189036e+00 3.3423523e+02 
2.7500000e+02 2.4573781e+00 1.4189036e+00 3.3423523e+02 
2.7600000e+02 2.4575040e+00 1.4234289e+00 3.4177473e+02 
2.7700000e+02 2.4575040e+00 1.4234289e+00 3.4177473e+02 
2.7800000e+02 2.4575040e+00 1.4234289e+00 3.4177473e+02 
2.7900000e+02 2.4564496e+00 1.4280168e+00 3.4931302e+02 
2.8000000e+02 2.4564496e+00 1.4280168e+00 3.4931302e+02 
2.8100000e+02 2.4564496e+00 1.4280168e+00 3.4931302e+02 
2.8200000e+02 2.4542154e+00 1.4326676e+00 3.5684829e+02 
2.8300000e+02 2.4542154e+00 1.4326676e+00 3.5684829e+02 
2.8400000e+02 2.4542154e+00 1.4326676e+00 3.5684829e+02 
2.8500000e+02 2.4508010e+00 1.4373803e+00 3.6437875e+02 
2.8600000e+02 2.4508010e+00 1.4373803e+00 3.6437875e+02 
2.8700000e+02 2.4508010e+00 1.4373803e+00 3.6437875e+02 
2.8800000e+02 2.4462129e+00 1.4421570e+00 3.7190251e+02 
2.8900000e+02 2.4462129e+00 1.4421570e+00 3.7190251e+02 
2.9000000e+02 2.4462129e+00 1.4421570e+00 3.7190251e+02 
2.9100000e+02 2.4404533e+00 1.4469960e+00 3.7941768e+02 
2.9200000e+02 2.4404533e+00 1.4469960e+00 3.7941768e+02 
2.9300000e+02 2.4404533e+00 1.4469960e+00 3.7941768e+02 
2.9400000e+02 2.4335282e+00 1.4518972e+00 3.8692254e+02 
2.9500000e+02 2.4335282e+00 1.4518972e+00 3.8692254e+02 
2.9600000e+02 2.4335282e+00 1.4518972e+00 3.8692254e+02 
2.9700000e+02 2.4254455e+00 1.4568619e+00 3.9441533e+02 
2.9800000e+02 2.4254455e+00 1.4568619e+00 3.9441533e+02 
2.9900000e+02 2.4254455e+00 1.4568619e+00 3.9441533e+02 
3.0000000e+02 2.4162124e+00 1.4618887e+00 4.0189409e+02 
3.0100000e+02 2.4162124e+00 1.4618887e+00 4.0189409e+02 
3.0200000e+02 2.4162124e+00 1.4618887e+00 4.0189409e+02 
3.0300000e+02 2.4058389e+00 1.4669791e+00 4.0935711e+02 
