#ele Pos(m) X_aper(m) Y_aper(m) x(m) xp(rad) y(m) yp(rad) p(rad) W(MeV)
422 1.22 0.0118 0.05 0.013668 0.0138706 -0.00331869 0.00647849 -27.7335 0.182623
422 1.22 0.0118 0.05 -0.0119153 -0.015623 0.00823405 0.000245008 48.2755 0.182625
422 1.22 0.0118 0.05 0.0131305 0.0131688 -0.00354727 0.00536232 -25.8329 0.182629
422 1.22 0.0118 0.05 0.0136717 0.0110326 0.00188844 0.0112512 -10.4134 0.182635
422 1.22 0.0118 0.05 0.0126341 0.0147983 -0.0061054 0.00289575 -37.5203 0.182629
422 1.22 0.0118 0.05 0.013137 0.0154651 -0.0039553 0.00398274 -39.8027 0.182633
422 1.22 0.0118 0.05 -0.0138064 -0.012987 0.00199881 -0.00742255 23.6082 0.182625
422 1.22 0.0118 0.05 0.011859 0.0112174 -0.00304741 0.00583774 -18.9316 0.182625
422 1.22 0.0118 0.05 0.0134271 0.0111739 0.00227455 0.0116837 -12.4624 0.182645
422 1.22 0.0118 0.05 -0.0150226 -0.0173554 0.00428853 -0.0041602 45.9588 0.182626
422 1.22 0.0118 0.05 -0.0135071 -0.0142151 0.004324 -0.00520786 32.6874 0.182627
422 1.22 0.0118 0.05 -0.0134729 -0.0162351 0.00692153 -0.00172126 45.356 0.182623
422 1.22 0.0118 0.05 -0.0142121 -0.0135497 0.00177693 -0.00753045 25.6774 0.182625
422 1.22 0.0118 0.05 0.0135523 0.0162041 -0.0064865 0.00280921 -42.2074 0.182625
422 1.22 0.0118 0.05 0.0127592 0.0126602 -0.00019696 0.00839912 -24.218 0.182625
422 1.22 0.0118 0.05 -0.0132934 -0.00910473 -0.00478145 -0.0146971 1.48473 0.182649
422 1.22 0.0118 0.05 0.0159887 0.018187 -0.00453407 0.00553226 -44.4051 0.182629
422 1.22 0.0118 0.05 -0.0156593 -0.0156791 0.00147875 -0.00845623 32.9623 0.182632
422 1.22 0.0118 0.05 -0.0118181 -0.0184637 0.0116039 0.0057737 66.3925 0.182625
422 1.22 0.0118 0.05 -0.012774 -0.011971 0.00245881 -0.00637103 21.7918 0.182624
422 1.22 0.0118 0.05 -0.0143941 -0.0198444 0.00942098 0.00244492 64.2409 0.182626
422 1.22 0.0118 0.05 0.0134576 0.0117546 0.00174259 0.0111305 -15.6877 0.182625
422 1.22 0.0118 0.05 -0.0152576 -0.0196725 0.00837301 -9.28751e-005 59.5162 0.182634
422 1.22 0.0118 0.05 0.0146482 0.0190112 -0.00809175 0.00096095 -54.7634 0.18263
422 1.22 0.0118 0.05 -0.0161743 -0.0179814 0.0043757 -0.00513427 45.2241 0.182627
422 1.22 0.0118 0.05 -0.0119104 -0.00782421 -0.00483283 -0.0137296 -0.363738 0.182627
422 1.22 0.0118 0.05 0.0124258 0.00932988 0.00191727 0.0105374 -5.14777 0.182642
422 1.22 0.0118 0.05 -0.0157245 -0.0214673 0.0104706 0.00236149 68.8657 0.182625
422 1.22 0.0118 0.05 0.0152313 0.0214109 -0.0103514 -0.00132163 -66.6534 0.182637
422 1.22 0.0118 0.05 0.0125249 0.00948833 0.00311117 0.0121081 -5.49446 0.182626
422 1.22 0.0118 0.05 0.0154077 0.019828 -0.00746131 0.00172349 -56.4703 0.182623
422 1.22 0.0118 0.05 0.0154735 0.0193587 -0.00714695 0.00257348 -53.3115 0.182627
422 1.22 0.0118 0.05 0.0119596 0.0121372 -0.00397535 0.00493126 -24.3106 0.182626
422 1.22 0.0118 0.05 0.014735 0.0145411 -0.00201135 0.00773422 -27.2736 0.182627
422 1.22 0.0118 0.05 -0.0140389 -0.0174046 0.00783242 -0.000754635 50.2267 0.182627
422 1.22 0.0118 0.05 -0.0159415 -0.0157976 0.00189553 -0.00832338 32.4638 0.182629
422 1.22 0.0118 0.05 -0.0126104 -0.011818 0.00262246 -0.00665081 21.3992 0.182634
422 1.22 0.0118 0.05 0.0146008 0.014126 2.39233e-005 0.00965135 -25.1165 0.182625
422 1.22 0.0118 0.05 -0.0164169 -0.0175035 0.00345678 -0.00665686 41.1287 0.182627
