# X[mm] xp[rad] Y[mm] yp[rad]
4.1955883679e+00 -5.4078557123e+01 -3.8501885900e+00 7.7389980889e+01
6.8788393972e-01 -2.4566779575e+01 1.2003756505e+00 -1.5863522212e+01
-2.4913424905e+00 2.5377286474e+01 1.4073439153e+00 -4.6576210189e+01
3.0386208019e+00 -5.1575378191e+01 -3.7937614559e-01 1.4300914243e+01
-2.7523512467e+00 3.9291546175e+01 1.2764445445e+00 -4.1484459032e+01
4.0101980130e+00 -3.7753313499e+01 -3.8631037306e+00 6.3564403472e+01
-7.8854985076e-01 -2.3986845160e+01 5.6839468209e-01 -8.3786941766e+00
-1.4289963372e+00 9.9381474248e+00 9.5497680109e-01 -1.9246043260e+01
-1.6704083495e+00 4.6281696711e+01 1.2774950090e+00 -2.8281852615e+01
-2.5174285304e+00 7.0633124431e+01 2.5721438917e+00 -7.1759490366e+01
-7.4373699139e-01 8.6956051878e+00 9.0486813237e-01 -9.3580339903e+00
3.3072771697e+00 -3.9046906836e+01 -1.4464729709e+00 2.8639963299e+01
5.8488095373e-01 -6.1803876643e+01 -3.7622489602e-01 2.4191917917e+01
2.6833563989e+00 -2.3525299516e+01 -1.4953315780e+00 2.1412723140e+01
-3.1228987267e+00 6.0699643232e+01 1.5684595359e+00 -4.9089621613e+01
1.4494760464e+00 -8.6737354658e+00 -1.2123998256e+00 1.3552567847e+01
1.2229881440e+00 -4.2486851475e+01 -5.2690495005e-01 1.6379233335e+01
4.2076398821e+00 -4.2668289225e+01 -5.6193235713e+00 9.8548308975e+01
-2.7838479841e+00 7.9177264042e+01 1.8139941185e+00 -9.0288219110e+01
-2.4752158137e+00 5.6769217928e+01 1.4192315050e+00 -9.4741746481e+01
2.7564382456e+00 -6.6220246035e+01 -1.6079953992e+00 5.5316992511e+01
7.1094701819e-01 -7.1106245502e+01 -3.3251622630e-01 2.5007266762e+01
3.5728625123e+00 -4.3816169172e+01 -2.3897268132e+00 4.8892761023e+01
-1.2094151905e+00 2.3392776625e+00 1.8135298745e-01 1.7427794278e+00
-2.1402739900e+00 5.5525795888e+01 2.1803592427e+00 -5.1324421417e+01
6.7747013400e-01 -4.0814789609e+01 1.4687581929e-02 5.6078450464e+00
2.4574054778e+00 -9.1573482947e+01 -2.1116636047e+00 8.3734461003e+01
-1.7105894374e+00 1.8385741104e+01 4.6524878287e-01 -6.1627568980e+00
-2.4099744370e+00 6.2898249404e+01 2.1517319814e+00 -5.1728058886e+01
-1.5110376517e+00 2.4073432818e+01 -1.3601289334e+00 1.5441077013e+01
3.0338905797e+00 -2.1386428295e+01 -3.0142005451e+00 4.6436291061e+01
-2.1780277212e+00 5.5912067920e+01 1.6609226013e+00 -9.3853564930e+01
2.0738503731e+00 -6.5438713067e+01 -1.7323161600e+00 6.3924660383e+01
-2.3927285838e+00 2.6129092796e+01 1.6034253334e+00 -7.3607281859e+01
-3.0127003151e+00 7.9481800251e+01 2.0278111292e+00 -7.9912140000e+01
-1.6954257057e+00 2.8119302977e+01 -3.0993553715e-01 -3.3233342899e+00
4.6925230209e-02 8.5709714302e+00 -1.5426533506e-01 -3.5529523411e+00
-2.2387795451e+00 4.7327023791e+01 1.5339357574e+00 -3.7727309586e+01
4.4323231274e+00 -4.7129681492e+01 -4.0346910206e+00 7.0714128383e+01
3.4587753160e-02 2.0350059743e+01 -3.7981801713e-01 1.9761944058e+00
1.0863413200e+00 -5.2432486155e+01 -1.0941871279e+00 4.0982855297e+01
-2.5763147091e+00 9.7686591017e+01 2.1657575723e+00 -9.4318402818e+01
-1.9900098620e+00 4.1933557211e+01 5.8420961149e-01 -1.7095550245e+01
-2.8747542089e+00 6.6863301622e+01 2.1618809218e+00 -6.0675818189e+01
3.3172582281e+00 -6.1130857257e+01 -1.7983178283e+00 5.0696341381e+01
-2.8954773502e-01 -4.5014092922e+01 4.2549579932e-01 -1.7496911417e+00
3.3461307286e+00 -2.8705593321e+01 -5.5117686615e+00 9.0371422051e+01
-1.5864131547e+00 -4.5064925793e+00 1.0732000094e+00 -2.7284315873e+01
-2.5935406959e+00 6.9842088714e+01 1.4629786682e+00 -3.4745420346e+01
-4.7243178988e-01 3.3017977470e+01 -1.6333538472e+00 2.0731300512e+01
1.2157393997e+00 1.5901803623e+00 -3.2391328423e+00 4.8461961789e+01
-1.6059940555e-01 -3.8103186028e+01 6.2646478443e-01 -9.9371041551e+00
-1.5677709402e+00 2.5480806195e+01 -1.6037822279e+00 1.7803311147e+01
-2.2937016891e+00 5.0065672801e+01 4.9160605710e-01 -7.8510190886e+00
2.9974821694e+00 -4.3248695092e+01 -3.7150228341e+00 7.0546860063e+01
-2.5459809140e+00 3.3854146775e+01 1.5963030143e+00 -5.9795933449e+01
-2.6908074394e+00 7.2089360722e+01 2.0287425577e+00 -4.9712466537e+01
-1.6118204231e+00 4.2367559869e+01 1.8165850314e+00 -4.0347965975e+01
-2.2779283129e+00 4.5312622893e+01 4.4813284900e-01 -6.6622151540e+00
3.8817314814e+00 -3.9759997385e+01 -2.9179747576e+00 5.0043340855e+01
-2.6868890925e+00 3.7317758434e+01 1.5371011089e+00 -5.6251503262e+01
1.9450688323e+00 -7.6370946869e+01 -1.8290383123e+00 7.3473361450e+01
-2.9085655463e+00 8.6430041418e+01 2.2402526787e+00 -6.0257943969e+01
-1.9552869188e+00 8.5137811411e+00 1.0246808850e+00 -2.6898891235e+01
-1.2702418834e+00 3.7298237526e+00 7.9824589653e-01 -1.2944462762e+01
7.0546084402e-01 1.3886424500e+01 -3.0054276264e+00 4.1875015135e+01
-1.8115167070e+00 1.0771858790e+01 6.5584609860e-01 -1.3670159742e+01
2.8417618366e+00 -6.3238569823e+01 -1.5354144763e+00 5.0607041325e+01
3.9704124018e+00 -7.1546872016e+01 -3.1649945072e+00 8.1103278296e+01
-1.0735325589e+00 3.9538304385e+01 -1.0914071927e+00 1.3089663287e+01
1.6346452903e-01 -2.3828049171e+01 -8.0952586033e-01 2.9345086418e+01
3.0365698763e+00 -1.9077810960e+01 -5.1810013865e+00 7.9907574292e+01
-5.6964880244e-01 3.3925457703e+01 -1.9673644083e+00 2.5922351699e+01
2.0994867031e+00 -8.0562730426e+01 -1.9163065926e+00 7.7908062285e+01
-2.9813235795e+00 5.3952706922e+01 1.1972107113e+00 -3.5663837284e+01
3.8358273857e+00 -7.7489924411e+01 -2.1904212857e+00 5.9448641861e+01
2.1678284838e+00 -7.5449770466e+01 -1.3976298683e+00 6.0913114199e+01
1.6734199090e+00 -1.4903792879e+00 -2.0651740931e+00 2.8326108239e+01
-1.2945488576e+00 -3.4701134837e+00 5.1610245413e-01 -6.5960396589e+00
4.2989498666e+00 -4.4978779292e+01 -4.6082940990e+00 8.0413864325e+01
3.7137431060e+00 -4.7405782290e+01 -2.0068455544e+00 3.6441175778e+01
1.5341452001e+00 -5.6498584309e+01 -1.7096394826e+00 5.7880848991e+01
1.4068334530e+00 -2.8259467310e+00 -7.1429386501e-01 7.8153118434e+00
-2.0928397706e+00 1.6835677871e+01 8.5375412818e-01 -2.1444856246e+01
6.0256517092e-01 -2.1560562103e+01 1.5127069735e+00 -2.6135199481e+01
1.9136763401e+00 -4.7720987436e+01 -6.7885713683e-01 2.3945471480e+01
1.8775703084e+00 -6.0437862686e+01 -1.5717384848e+00 5.8173255863e+01
1.2639980482e+00 -3.0907430489e+01 -7.3777501624e-01 1.7424162483e+01
-2.2007242353e+00 3.3501880592e+01 -6.9994271583e-01 6.8610135789e+00
4.3788970962e-01 1.7084918810e+01 -1.6229745555e+00 2.0773822995e+01
-2.8088406146e+00 8.7622437673e+01 1.8253702860e+00 -9.1841712045e+01
-2.6386661358e+00 7.0957948784e+01 2.2457721488e+00 -5.7585813935e+01
1.9002866764e+00 -1.1606575632e+01 -7.1148290068e-01 8.9796199446e+00
-1.6617398248e+00 3.5121483550e+01 8.9427515414e-01 -1.3867160502e+01
2.9446104095e+00 -3.4529176404e+01 -4.1496366176e+00 7.2738812086e+01
3.0100129103e+00 -6.8837696848e+01 -2.2638881557e+00 7.1563090629e+01
-2.6331505880e+00 3.8875285012e+01 1.5772360798e+00 -6.7885483349e+01
3.3468957696e+00 -2.6182792929e+01 -4.1235644228e+00 6.5484415894e+01
-1.2971345424e+00 4.0108391513e+01 9.1276222250e-01 -2.0693351796e+01
1.1487360861e+00 -7.4526897197e+01 -7.5533395600e-01 3.7236522798e+01
-1.5623213948e+00 -1.3807720699e+01 1.3749605926e+00 -4.1184640799e+01
-2.8773951399e+00 6.6727459260e+01 2.1298962348e+00 -5.7515985137e+01
-1.3607386401e+00 1.4290004338e+01 1.5933124605e+00 -4.1239470575e+01
2.1682071678e+00 -6.3505613922e+01 -1.3994874171e+00 5.4128765002e+01
-2.6648970859e+00 5.0678428540e+01 1.3965552936e+00 -3.7647105678e+01
3.4936384240e+00 -6.9403002335e+01 -1.8883434034e+00 4.9967317340e+01
2.5116972536e+00 -7.4419666541e+01 -1.7684894738e+00 6.7523281055e+01
-2.5819650200e+00 1.0260596874e+02 2.1834964165e+00 -9.6222628276e+01
2.7343904476e+00 -1.9702153696e+01 -2.0479165479e+00 3.1127146410e+01
-8.5998621499e-02 2.5568888669e+01 -1.3691030927e+00 1.6824932840e+01
1.2967668262e-01 -2.7220192249e+01 -5.5345798836e-01 2.3394419989e+01
-1.6714354188e-01 -2.6970894248e+01 -2.4383898033e-01 1.6752785228e+01
-5.6737992898e-01 2.3740301491e+01 9.5039863569e-01 -2.1378100945e+01
-6.3499280797e-01 -5.0238110668e+00 1.0636080186e+00 -2.3376256954e+01
4.4391803711e+00 -5.7051262736e+01 -4.1340565663e+00 8.3218670573e+01
4.4320712441e+00 -4.5514599724e+01 -4.9936103986e+00 8.5828079354e+01
2.5429548407e+00 -5.0609795878e+01 -1.3074924629e+00 3.3668202948e+01
-2.8002175239e+00 4.6528456829e+01 -9.7535103504e-01 1.1813464702e+01
2.7933387718e+00 -4.1748590290e+01 -1.0532285599e+00 2.8978448059e+01
-2.1389274009e+00 1.2947320793e+01 1.1607608147e+00 -3.2790255223e+01
-2.8647394446e+00 9.2873637907e+01 2.3811574099e+00 -8.2790125466e+01
3.9587819950e-01 -6.2467624974e+00 -4.1602455364e-01 7.9356604548e+00
2.1471139061e+00 -1.3920712730e+01 -4.0632862355e+00 6.4191738399e+01
-2.5500413411e+00 7.2779769176e+01 2.6077028256e+00 -7.5217452542e+01
-2.4550935206e+00 4.6562055527e+01 1.5235695644e+00 -4.0128148089e+01
-2.2040440668e+00 5.3264606456e+01 1.8245567306e+00 -8.6579682085e+01
3.9482347090e+00 -5.4463079379e+01 -3.0122366267e+00 6.4836309185e+01
1.6812729038e+00 -8.2074511491e+00 -8.0789862187e-01 9.0986847576e+00
-3.9835855641e-01 -2.3010415525e+01 -7.4087361409e-02 1.1150504772e+01
-2.4415753760e+00 6.9339682253e+01 2.6143468971e+00 -7.6405719549e+01
-2.4832902126e+00 4.3272576352e+01 6.2335426760e-01 -2.0909771268e+01
-1.6306543753e+00 -5.1197525230e+00 1.4974089846e+00 -4.5843110852e+01
-3.0910830540e+00 7.7710637398e+01 2.2471575729e+00 -6.1761548372e+01
-4.8900200047e-01 -1.9686210720e+01 1.0228336977e+00 -2.2481034562e+01
6.3867007918e-01 -6.2590081767e+01 -2.7003735463e-01 1.9877199385e+01
1.7362854569e+00 -1.1994128599e+01 -4.5226359312e-01 4.0418833962e+00
-2.2094946891e+00 4.2239461941e+01 1.6477315887e+00 -8.8069207559e+01
-2.8133280712e+00 5.2461411260e+01 1.7326390548e+00 -6.7388718361e+01
-3.0639829569e+00 6.4565986472e+01 1.8705944457e+00 -5.6598605364e+01
3.5265080261e+00 -4.5075788461e+01 -2.4050741673e+00 5.0751419371e+01
3.5108906617e+00 -3.1179869171e+01 -2.8434582562e+00 4.3621900404e+01
-4.4218705236e-01 2.7448094125e+01 -6.7689949947e-02 -3.3292286511e+00
-2.5830441908e+00 3.8757186376e+01 1.6113065852e+00 -7.2236067158e+01
-2.0284684217e+00 4.1717525615e+01 9.1490609820e-01 -2.4699638686e+01
1.9178005157e+00 -7.7053449135e+01 -1.6763351132e+00 6.9485393031e+01
-2.6647745731e+00 9.5638808414e+01 2.2852331178e+00 -9.4659970672e+01
2.9582470858e+00 -2.6832505978e+01 -1.6502321870e+00 2.6303284692e+01
-2.5558424231e+00 2.7533424797e+01 1.3782550332e+00 -4.6472755278e+01
1.2837724931e+00 -6.9212745979e+01 -6.3478128737e-01 2.8032442114e+01
1.0510592871e+00 -7.2905695672e+01 -5.7401886561e-01 3.1098080198e+01
-2.3390626694e+00 2.1686100006e+01 1.2965154866e+00 -3.9506511354e+01
