# x[mm] y[mm]
5.9439558542e-01 6.5228562433e+00
-8.1839589690e+00 -4.5901647062e+00
-7.2410580236e+00 1.0499254265e+01
4.1447329112e+00 -1.0141152956e+01
9.1567193131e+00 3.7164861950e+00
-6.0537035930e+00 7.6266065192e+00
6.6899110377e+00 -1.1182622468e+01
1.0307566816e+01 2.7453544474e+00
4.6338717361e+00 -4.5636483383e-01
8.6474523210e+00 3.1788614671e+00
-3.0987093113e+00 1.0452180384e+01
-6.0678002459e+00 -6.6860703622e+00
9.7478243737e+00 6.6352578829e+00
-1.6421104958e+00 -6.4622258116e+00
3.3665997089e+00 -6.3178751996e+00
-2.6279694298e+00 4.5780207765e+00
-5.9079498979e+00 -8.6260445901e+00
-1.0427953200e+01 7.9978458826e+00
8.7611245830e+00 -1.0018078504e+01
7.4256455531e+00 7.3050094432e+00
5.2911443040e+00 -1.1829725582e+01
-6.6920157838e+00 7.9361431562e+00
-3.0246081290e-01 -6.1647629636e+00
1.5324808639e+00 -1.0755821588e+00
-9.2229228820e+00 7.9058495596e+00
-7.0826342354e+00 -3.1481207107e+00
6.2236438036e+00 1.6209455858e+00
2.6758085397e+00 -9.2404992591e+00
-2.3322243308e+00 6.0441401684e+00
-7.1312050323e+00 -7.7500641682e+00
1.1657758067e+00 -2.8341779761e+00
-3.8394455048e+00 -7.9731160906e+00
-8.6854901294e+00 7.8446384446e+00
-2.7605259679e+00 8.4191183196e+00
-3.2275013360e+00 -9.4596145992e+00
-9.4361851215e+00 1.1305041127e+01
1.0842238318e+01 6.1233350812e-01
4.8202486467e+00 -1.1239730349e+00
-9.2140484042e+00 1.1479290548e+01
1.1683967598e+01 2.6850207652e+00
-7.1983513545e+00 -4.8613917177e+00
8.8720562868e+00 -6.5009664284e+00
5.0186936518e+00 7.4438824355e+00
-7.6594536909e+00 1.6932840877e+00
-5.3910395840e+00 -6.4373972454e+00
-6.0114421918e+00 -3.3642378924e-01
8.5353999405e-01 -1.1893444304e+01
9.9693915304e+00 5.9273602440e+00
-5.9902890622e+00 1.1849151676e+01
1.7924072287e-02 -5.3834855362e+00
-1.9209364559e+00 -9.6680838158e-01
-2.2421400323e+00 2.8169884075e+00
5.8687744686e+00 4.1409435208e-01
9.1750375374e-01 8.4562488328e+00
-1.1545835519e+00 -2.2243289348e+00
6.8352265824e+00 -7.6034311669e+00
6.8789170776e+00 -3.8779284117e+00
-7.5847832579e+00 7.6698914991e+00
6.5231923629e+00 -1.0675703381e+01
-2.4329450782e+00 8.8884050622e+00
2.6626058482e+00 -1.5295680175e+00
-7.1198020505e+00 -3.8771924005e+00
2.5829901780e+00 -2.5692397897e+00
9.3182286481e+00 3.4979823138e+00
-8.5716802533e+00 7.0274405489e+00
-4.7165115931e+00 1.6728978352e+00
1.7298188247e+00 -7.2216064703e+00
-9.3959715738e+00 1.0803338677e+01
-4.9910010378e+00 -8.2231504117e+00
5.6820994504e+00 -1.0385932692e+01
5.6273088530e+00 -3.9708422940e+00
-5.5241241007e+00 1.0622223147e+01
4.6451099013e+00 -7.4415538415e+00
-7.3377214707e+00 9.4977551444e+00
-9.6402937816e+00 -3.0815253948e+00
-4.8679636926e+00 -6.6181552232e-01
-8.3722157017e+00 -2.5123513137e+00
9.1659063083e+00 3.3442040439e+00
-1.0406372754e+00 2.7935235830e+00
-2.5521888476e+00 1.6992592219e+00
2.1384700221e+00 -1.0000370918e+01
6.3681403753e+00 -1.0655334701e+01
-8.6500252820e+00 1.0241146325e+01
-9.2144036218e+00 9.9459521406e+00
1.6016294407e+00 -8.8253713128e-01
8.1085795916e-01 6.5457303640e+00
1.0136296857e+01 -1.1912775639e+01
-4.2881346326e+00 1.5738109956e+00
-1.6133766975e+00 -8.8289200143e+00
-9.2738349170e-01 8.4220420487e+00
7.8065514938e+00 -1.0563667477e+01
-4.5772664259e+00 7.4830678935e-01
2.4126843531e+00 -4.6785605149e-01
-4.1102446059e+00 -1.4020733070e+00
9.6542823194e-02 -6.8336866699e+00
8.7376506059e+00 -4.2874896387e+00
-2.0279093449e+00 -3.5909711393e+00
4.8809166011e+00 -8.0498372215e+00
-9.8464719280e+00 1.1934343420e+01
-7.9761269297e+00 1.2116705004e+01
-1.4612579187e+00 4.7648916124e+00
9.5100408076e+00 3.3451029061e+00
1.0799857890e+01 3.2213268763e+00
-7.2852457631e+00 1.1517353753e+01
-3.4706084208e+00 -3.8902763157e+00
5.2881559735e+00 3.4109797216e+00
9.6747113573e-01 -5.5764361852e-01
-2.6432327604e+00 -7.7252701727e+00
1.0943723237e+01 -6.5326012264e+00
-7.1519075129e+00 1.0741376229e+01
3.7694267128e+00 4.3024752223e+00
3.4990622830e+00 -3.3998135012e+00
-3.0286292005e+00 1.0030723707e+00
-8.6299875555e+00 -7.4378454761e+00
8.6251863335e+00 3.9913405738e+00
-8.7554099652e+00 -2.7998302533e+00
-6.3449136223e+00 4.1850817673e+00
-8.8020652308e+00 9.4336722744e+00
5.2204103321e+00 -8.6756820912e+00
6.5201478527e+00 -3.9546497251e+00
8.2783981348e+00 4.6083264611e+00
9.0650095866e+00 -1.0051394953e+01
-5.7396299633e+00 1.0264795870e+01
9.4007860199e+00 -1.1757060286e+01
1.8323397451e+00 -8.7887673275e-01
-8.7549238176e+00 -7.0909355787e+00
1.7324858366e+00 -1.4407983358e+00
