# X[mm] xp[mrad] Y[mm] yp[mrad]
-9.4775962593e-01 6.2755793109e+01 -3.7821778311e-01 -8.5117897556e+01
1.1205359303e+00 7.9614733205e+01 -4.2686547573e-01 -4.2482028359e+01
-1.2070440297e+00 7.7543482566e+00 4.7724711329e-02 -2.4864675080e+01
9.3730762929e-01 -6.1986297983e+01 2.7653041168e-01 6.5431771590e+01
8.8088435565e-01 -6.4093627112e+01 4.3669573457e-01 8.8881095862e+01
4.0819177847e-01 2.6330876573e+01 -3.4296302554e-01 -8.6079058572e+00
-1.2595862630e+00 3.2828530884e+01 -1.8041269192e-01 -5.9674145459e+01
-5.7003024237e-01 1.5771821954e+01 1.0614043780e-01 -1.9907269446e+01
-1.0442263055e+00 5.0245420375e+01 -1.6772135856e-01 -5.3077657867e+01
1.2024127366e+00 -4.3944026500e+01 2.3669002441e-01 7.3026351084e+01
-1.3532262265e+00 -2.8561004956e+01 1.7419279457e-01 -1.2243935878e+01
4.9725497139e-01 -2.9574244373e+01 1.7925151603e-02 2.9825191793e+01
9.5821119060e-01 5.8442890182e+01 -4.0890736939e-01 -3.6091647641e+01
6.4509411020e-01 8.6574565744e+01 -6.2669795454e-01 -8.5644793268e+01
-3.4602670059e-01 5.1048223705e+01 -1.3217213272e-01 -6.5737957652e+00
7.2141745449e-01 -4.9602055649e+01 2.2821175897e-01 3.5385558457e+01
-1.3549097939e+00 -7.6181671166e+01 3.9499566348e-01 2.9860721093e+01
8.3121687931e-01 -2.9719809949e+01 -3.6682130734e-02 2.5871075611e+01
-2.9122535725e-01 7.5908859657e+01 -5.1482847977e-01 -6.0455322868e+01
3.1070307444e-01 -5.3375262266e+01 4.6935952957e-02 4.7398440860e+00
-6.4690879597e-01 -5.3495872280e+01 2.0821766057e-01 2.1113306161e+01
1.2880370044e+00 -4.5469838122e+01 3.3977420421e-01 1.0679024666e+02
-3.7817325123e-01 9.4749921013e+01 -6.1170030563e-01 -1.0356029139e+02
-1.0612119035e+00 6.7524549265e+01 -3.8439997143e-01 -1.0996739252e+02
-9.9461676104e-02 -8.2146852257e+01 6.2283516265e-01 6.7455550613e+01
-1.4232797239e+00 -8.7386605946e+01 4.1197023579e-01 3.0612956082e+01
7.7867342592e-01 -5.4475746653e+01 3.7843873506e-01 5.9370344386e+01
-8.5396136005e-01 4.4059762372e+00 1.9224805654e-01 9.7108996686e-01
7.3293813688e-01 6.9243054612e+01 -5.2997813751e-01 -6.3659040837e+01
-8.9774176457e-01 -5.1002571898e+01 2.0385413201e-01 6.9575671301e+00
-6.2946536557e-01 -1.1017234590e+02 6.2598909228e-01 9.6109445768e+01
-7.0852875506e-01 2.4783351746e+01 1.4852049690e-01 -9.3985111681e+00
8.1799735299e-01 7.8253140587e+01 -5.4726454170e-01 -6.3627796855e+01
-2.7483435147e-01 -1.2749008877e+02 2.4546603503e-01 2.0068889946e+01
1.2193726584e+00 -2.4931755368e+01 1.3585757156e-01 5.5051272883e+01
-7.2336405323e-01 6.6944698101e+01 -3.5222332009e-01 -1.0936802638e+02
-4.4618910884e-01 -8.0771139357e+01 6.5199117559e-01 7.7882907161e+01
-1.4028214437e+00 3.2373925421e+01 -1.9271517804e-01 -9.0905041964e+01
-1.1692534380e-01 9.6273341375e+01 -6.5065646352e-01 -9.3306597638e+01
-8.1232264322e-01 -1.3314015067e+02 7.0802469280e-01 1.0966201191e+02
5.7993231965e-01 -2.7555902265e+01 -8.1569133145e-02 2.0916599014e+01
4.3816699297e-01 5.9737359303e+01 -5.6395375004e-01 -4.7648105328e+01
