# X[mm] xp[rad] Y[mm] yp[rad]
-1.4164621812e+00 1.3510659327e+01 1.6913509808e+00 -4.6777159897e+01
3.0107742900e+00 -3.1613906104e+01 -1.6644282817e+00 2.9247966318e+01
-6.3440786398e-01 -1.7610790809e+01 6.7935687525e-02 4.4679193682e+00
1.9057319182e+00 -5.9063941732e+00 -2.0055328594e+00 2.8225030425e+01
-1.5907782836e-01 -3.7031284020e+01 6.0384134020e-01 -9.4572023498e+00
-2.4961141281e+00 8.2177856062e+01 1.8065609238e+00 -9.7979503991e+01
2.4519499393e+00 -5.7775524611e+01 -1.0144360272e+00 3.9033175039e+01
-2.7728284973e+00 5.8321784032e+01 1.5508690262e+00 -5.1749674395e+01
-2.5959157468e+00 5.4615028119e+01 9.5726609846e-01 -2.8403922250e+01
-2.5624179084e+00 1.0143109578e+02 2.1822784563e+00 -8.0889853795e+01
9.3069472786e-01 -2.1116573606e+01 5.1345332184e-01 2.0894877131e+00
3.3661114779e+00 -6.0842625125e+01 -1.5324383867e+00 4.2096419109e+01
2.3448218510e+00 -6.3824203086e+01 -1.5229527840e+00 4.1009622673e+01
-2.5143211435e+00 6.7119170005e+01 1.5971598926e+00 -9.0339866240e+01
3.8196325961e+00 -6.0486625460e+01 -3.3248582047e+00 7.9146555699e+01
-2.2611335113e+00 1.4373457990e+01 1.2628365155e+00 -4.7701219861e+01
2.7414080757e-01 1.7938769573e+01 -2.7134383981e+00 3.7271010937e+01
-2.3535010170e+00 1.0665528526e+02 1.9741207129e+00 -9.0925477254e+01
1.9001006552e+00 -7.9239918597e+01 -1.8447262044e+00 7.3880970749e+01
-2.4432580740e+00 2.8613666148e+01 1.4928604432e+00 -5.7674572297e+01
