# S[m] sigma_x[mm] sigma_y[mm] N mean_P[MeV/c] beta_x[mm/mrad] beta_y[mm/mrad] beta_z[mm/mrad] alpha_x[mrad] alpha_y[mrad] alpha_z[mrad] mean_E[MeV] sigma_px[mrad] sigma_py[mrad] 
8.0192771084e-02 5.2656438157e+00 6.4593967568e+00 1.4857000000e+04 6.3888677055e+01 1.0358435409e+00 1.5614730500e+00 5.3959346677e+03 1.2101805317e+00 9.9854379051e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
8.1445783133e-02 5.2579404393e+00 6.4542230150e+00 1.4857000000e+04 6.3888677055e+01 1.0328146622e+00 1.5589727154e+00 5.4802461469e+03 1.2071994231e+00 9.9694108133e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
8.2698795181e-02 5.2502448015e+00 6.4490534433e+00 1.4857000000e+04 6.3888677055e+01 1.0297932541e+00 1.5564763968e+00 5.5645576261e+03 1.2042183145e+00 9.9533837214e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
8.3951807229e-02 5.2425569365e+00 6.4438880518e+00 1.4857000000e+04 6.3888677055e+01 1.0267793167e+00 1.5539840943e+00 5.6488691053e+03 1.2012372058e+00 9.9373566295e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
8.5204819277e-02 5.2348768784e+00 6.4387268506e+00 1.4857000000e+04 6.3888677055e+01 1.0237728500e+00 1.5514958077e+00 5.7331805844e+03 1.1982560972e+00 9.9213295377e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
8.6457831325e-02 5.2272046617e+00 6.4335698497e+00 1.4857000000e+04 6.3888677055e+01 1.0207738540e+00 1.5490115373e+00 5.8174920636e+03 1.1952749886e+00 9.9053024458e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
8.7710843373e-02 5.2195403210e+00 6.4284170592e+00 1.4857000000e+04 6.3888677055e+01 1.0177823286e+00 1.5465312829e+00 5.9018035428e+03 1.1922938800e+00 9.8892753540e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
8.8963855422e-02 5.2118838911e+00 6.4232684892e+00 1.4857000000e+04 6.3888677055e+01 1.0147982740e+00 1.5440550445e+00 5.9861150220e+03 1.1893127713e+00 9.8732482621e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
9.0216867470e-02 5.2042354067e+00 6.4181241500e+00 1.4857000000e+04 6.3888677055e+01 1.0118216900e+00 1.5415828221e+00 6.0704265012e+03 1.1863316627e+00 9.8572211702e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
9.1469879518e-02 5.1965949031e+00 6.4129840517e+00 1.4857000000e+04 6.3888677055e+01 1.0088525766e+00 1.5391146158e+00 6.1547379803e+03 1.1833505541e+00 9.8411940784e-01 4.4598184553e-01 1.8262936149e-01 7.9791010693e+00 5.8459406560e+00
